"filtered_node","original_node","borough","hour1","hour2","alpha_hat_1","alpha_hat_2","diff","se","z_stat","p_value","q_value_bh"
1,1,"Manhattan","08:00-09:00","18:00-19:00",-2.42333348250733,-3.14697226834896,0.723638785841633,0.662442426646625,1.09237989104169,0.274666157970547,0.657751234740964
2,2,"Manhattan","08:00-09:00","18:00-19:00",-3.20366558065782,-3.98336621892508,0.779700638267258,0.833649714888986,0.935285677355613,0.34964109450649,0.728191639071251
3,3,"Manhattan","08:00-09:00","18:00-19:00",-4.27061505898971,-4.41153051431755,0.140915455327847,1.35165448121556,0.10425405108051,0.916967741063374,0.985792345988022
4,4,"Brooklyn","08:00-09:00","18:00-19:00",-5.36193433827402,-3.06764622773426,-2.29428811053975,1.43796761843633,-1.59550749344036,0.110598795657048,0.434362867859804
5,5,"Manhattan","08:00-09:00","18:00-19:00",-1.94486806396989,-2.62459435677059,0.679726292800701,0.528964346501965,1.28501343671974,0.198787588651592,0.578207008802313
6,7,"Brooklyn","08:00-09:00","18:00-19:00",-6.79523229333668,-6.27137541361353,-0.523856879723152,1.79368979291824,-0.292055450051295,0.77024422809022,0.963483125545555
7,8,"Manhattan","08:00-09:00","18:00-19:00",-2.96907844975427,-3.00561858299202,0.0365401332377506,0.623798129037529,0.0585768560962649,0.953289145181756,0.994417061549103
8,9,"Manhattan","08:00-09:00","18:00-19:00",-1.79297143395025,-1.44663203643607,-0.346339397514177,0.457151440612551,-0.757603207046895,0.448688559695946,0.798552044218355
9,10,"Brooklyn","08:00-09:00","18:00-19:00",-2.977890239292,-3.41877151168807,0.440881272396065,0.942340750753925,0.467857589776666,0.639886433658646,0.929738123656699
10,11,"Brooklyn","08:00-09:00","18:00-19:00",-2.1186684966215,-4.99810630791398,2.87943781129248,1.43165581841457,2.01126400232229,0.0442975786409153,0.234144344244838
11,12,"Manhattan","08:00-09:00","18:00-19:00",-2.44847922723463,-3.35635111004888,0.907871882814249,0.716238869123612,1.26755461334446,0.204957048791923,0.588293211019549
12,13,"Manhattan","08:00-09:00","18:00-19:00",-1.86925559881521,-3.65886820675378,1.78961260793857,0.668731869549614,2.67612878857391,0.00744780194132532,0.0784442950572038
13,14,"Manhattan","08:00-09:00","18:00-19:00",-0.385176043066655,-1.50654394639843,1.12136790333178,0.361625696556392,3.10090768994042,0.00192928424560018,0.0376746340182479
14,15,"Brooklyn","08:00-09:00","18:00-19:00",-4.56322272544981,-3.09196552332768,-1.47125720212213,1.11431286445711,-1.32032685707072,0.186725912422533,0.554977018274375
15,16,"Manhattan","08:00-09:00","18:00-19:00",-2.7882324066646,-2.28454916833253,-0.503683238332067,0.69647560991384,-0.723188624500973,0.469564006629799,0.811609934031128
16,17,"Manhattan","08:00-09:00","18:00-19:00",-0.202859974932723,-0.944755728177387,0.741895753244664,0.328164899008322,2.26074072969593,0.0237753167525533,0.154759700713379
17,18,"Manhattan","08:00-09:00","18:00-19:00",-0.231562330564997,-1.72583816805359,1.49427583748859,0.430784458842946,3.46873199999393,0.000522920811201277,0.0159831882728042
18,19,"Manhattan","08:00-09:00","18:00-19:00",-1.08785820723481,-2.19932003385232,1.11146182661751,0.433996243582001,2.56099411700899,0.0104373123585963,0.096545139317016
19,20,"Manhattan","08:00-09:00","18:00-19:00",-2.14406003675474,-2.61885761101425,0.474797574259506,0.528338386133247,0.898661893061395,0.368832780481606,0.744093982358193
20,21,"Manhattan","08:00-09:00","18:00-19:00",-1.09454829123226,-2.488677736963,1.39412944573073,0.666180421666926,2.09272053093713,0.036374109406069,0.198525886598424
21,22,"Manhattan","08:00-09:00","18:00-19:00",-1.78029801155953,-4.76138772331194,2.98108971175241,0.86744840112093,3.43661906333587,0.000589023399919798,0.0172534770893174
22,23,"Manhattan","08:00-09:00","18:00-19:00",-3.53324420904334,-3.14006178771391,-0.393182421329439,0.665736402165651,-0.590597750176211,0.55478997269069,0.869072407534132
23,24,"Brooklyn","08:00-09:00","18:00-19:00",-6.42691428641239,-3.06320763987881,-3.36370664653358,1.73933104811681,-1.93390824028324,0.0531244107987626,0.269132637737104
24,25,"Brooklyn","08:00-09:00","18:00-19:00",-5.02697008565957,-1.00227991192864,-4.02469017373093,0.936969299514325,-4.29543441371784,1.74351579215163e-05,0.00153211450235325
25,26,"Manhattan","08:00-09:00","18:00-19:00",-4.0218754932302,-2.59698995356705,-1.42488553966316,0.728410042220218,-1.95615856052733,0.0504464784271109,0.260763781869551
26,27,"Manhattan","08:00-09:00","18:00-19:00",-3.67029392561501,-3.78960202221349,0.119308096598475,1.09908959770659,0.108551747598584,0.913558034336742,0.985792345988022
27,28,"Manhattan","08:00-09:00","18:00-19:00",-2.43611005166878,-1.4355624052306,-1.00054764643817,0.517565616359717,-1.93318028634804,0.0532139923832965,0.269132637737104
28,29,"Manhattan","08:00-09:00","18:00-19:00",-0.897002925613466,-1.83452521388349,0.93752228827002,0.430064427893595,2.17995776321677,0.0292605925323319,0.171418304585244
29,30,"Manhattan","08:00-09:00","18:00-19:00",-1.20525557590138,-1.44585164665161,0.240596070750234,0.449177612851562,0.535636825759932,0.592209572471774,0.888262469516615
30,31,"Manhattan","08:00-09:00","18:00-19:00",-3.0938213060751,-1.46797853771391,-1.62584276836119,0.685894829429567,-2.37039659522342,0.0177690135739493,0.133935188876083
31,32,"Manhattan","08:00-09:00","18:00-19:00",-3.62036103308998,-3.41438390640762,-0.20597712668236,0.930100463310246,-0.221456858487397,0.824736724569903,0.963483125545555
32,33,"Brooklyn","08:00-09:00","18:00-19:00",-7.27702836002146,-2.47929353084542,-4.79773482917604,1.08645416650189,-4.41595695161587,1.00564097979208e-05,0.00117827601465639
33,34,"Brooklyn","08:00-09:00","18:00-19:00",-4.63338997231631,-4.04114703655526,-0.592242935761047,1.29306782821933,-0.458013820184992,0.646942512328204,0.929738123656699
34,35,"Brooklyn","08:00-09:00","18:00-19:00",-6.21444821678538,-2.24341288550868,-3.9710353312767,2.06631986777958,-1.92179119660882,0.0546320364961184,0.274330868976937
35,36,"Brooklyn","08:00-09:00","18:00-19:00",-5.53921489027686,-4.55432320796453,-0.984891682312333,1.33133668246173,-0.739776568381789,0.459435579054128,0.80544441913978
36,37,"Brooklyn","08:00-09:00","18:00-19:00",-4.42108223542635,-3.73676214370441,-0.684320091721947,1.0535006032095,-0.649567821448945,0.515971424270322,0.854013429895327
37,38,"Brooklyn","08:00-09:00","18:00-19:00",-6.221262488291,-3.99494455809276,-2.22631793019823,1.53363956526801,-1.45165655647986,0.146597124572179,0.494666967720186
38,39,"Manhattan","08:00-09:00","18:00-19:00",-2.97799954174573,-3.45348330869213,0.475483766946403,0.773682598689113,0.614572135591569,0.538837320866689,0.865753708929015
39,40,"Manhattan","08:00-09:00","18:00-19:00",-4.94706662229346,-2.55045960047667,-2.39660702181679,1.03023494985077,-2.32627229561949,0.0200040290078458,0.146487837422037
40,41,"Manhattan","08:00-09:00","18:00-19:00",-2.11981181772924,-2.68385387440792,0.564042056678687,0.682674969483537,0.826223432661375,0.408677358056154,0.766133820569271
41,42,"Manhattan","08:00-09:00","18:00-19:00",-1.84633978722743,-2.14825386697482,0.301914079747389,0.572219344646646,0.52761949167207,0.597763461649661,0.89220321346011
