"filtered_node","original_node","borough","rejected_count","total_tests","rejected_frac"
1,1,"Manhattan",26,702,0.037037037037037
2,2,"Manhattan",116,702,0.165242165242165
3,3,"Manhattan",83,702,0.118233618233618
4,4,"Brooklyn",13,702,0.0185185185185185
5,5,"Manhattan",72,702,0.102564102564103
6,7,"Brooklyn",48,702,0.0683760683760684
7,8,"Manhattan",92,702,0.131054131054131
8,9,"Manhattan",102,702,0.145299145299145
9,10,"Brooklyn",259,702,0.368945868945869
10,11,"Brooklyn",3,702,0.00427350427350427
11,12,"Manhattan",195,702,0.277777777777778
12,13,"Manhattan",157,702,0.223646723646724
13,14,"Manhattan",232,702,0.33048433048433
14,15,"Brooklyn",311,702,0.443019943019943
15,16,"Manhattan",76,702,0.108262108262108
16,17,"Manhattan",35,702,0.0498575498575499
17,18,"Manhattan",47,702,0.066951566951567
18,19,"Manhattan",105,702,0.14957264957265
19,20,"Manhattan",14,702,0.0199430199430199
20,21,"Manhattan",0,702,0
21,22,"Manhattan",221,702,0.314814814814815
22,23,"Manhattan",74,702,0.105413105413105
23,24,"Brooklyn",53,702,0.0754985754985755
24,25,"Brooklyn",264,702,0.376068376068376
25,26,"Manhattan",91,702,0.12962962962963
26,27,"Manhattan",118,702,0.168091168091168
27,28,"Manhattan",92,702,0.131054131054131
28,29,"Manhattan",182,702,0.259259259259259
29,30,"Manhattan",132,702,0.188034188034188
30,31,"Manhattan",96,702,0.136752136752137
31,32,"Manhattan",34,702,0.0484330484330484
32,33,"Brooklyn",267,702,0.38034188034188
33,34,"Brooklyn",29,702,0.0413105413105413
34,35,"Brooklyn",0,702,0
35,36,"Brooklyn",131,702,0.186609686609687
36,37,"Brooklyn",93,702,0.132478632478632
37,38,"Brooklyn",91,702,0.12962962962963
38,39,"Manhattan",78,702,0.111111111111111
39,40,"Manhattan",74,702,0.105413105413105
40,41,"Manhattan",112,702,0.15954415954416
41,42,"Manhattan",136,702,0.193732193732194
42,43,"Manhattan",68,702,0.0968660968660969
43,44,"Manhattan",72,702,0.102564102564103
44,45,"Manhattan",120,702,0.170940170940171
45,46,"Brooklyn",1,702,0.00142450142450142
