"iter","loglik","score_max_abs","finite_score","bt","eta_used","ls_ok","seed","n","k","family","method","eta0","eta_mult","eta_label","eta_init","eta_times_n","case"
1,-249216.477593322,142.446139040129,1,NA,NA,NA,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
2,-256340.99708862,392.564948679926,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
3,-379276.437652245,1649.97375157276,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
4,-2684738.70805486,7335.97980677365,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
5,-68758325.8393524,36037.2488760498,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
6,-3495049801.62916,204622.560745431,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
7,-249946938087.419,1363342.40254371,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
8,-19683291292765.1,10356376.5223037,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
9,-1656010031592602,14534711882.6417,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
10,-1.26382796993718e+33,4.03621447458655e+24,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
11,-1.38016213175781e+91,1.4876362451544e+68,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
12,-2.52567370496027e+265,6.96704706075774e+198,1,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
13,-Inf,NA,0,0,0.005,1,123,1000,2,"gaussian","fixed",5e-04,10,"10*eta0",0.005,5,"fixed | 10*eta0"
1,-249216.477593322,142.446139040129,1,NA,NA,NA,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
2,-248492.701758326,120.699185250238,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
3,-248236.745672031,101.431809003319,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
4,-248100.741528178,84.7921338431691,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
5,-248016.01539638,70.6781495784311,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
6,-247960.490576579,58.8469943653293,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
7,-247923.284637816,49.0011247812687,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
8,-247897.974933093,40.8394707750784,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
9,-247880.545548393,34.084683656784,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
10,-247868.420004783,28.4943145869685,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
11,-247859.913415195,23.8629638965793,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
12,-247853.904914139,20.0198617297962,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
13,-247849.637363327,16.8245771184401,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
14,-247846.592566053,14.1622992195287,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
15,-247844.411977508,11.9393919693493,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
16,-247842.845311689,10.0795042921649,1,3,0.000625,1,123,1000,2,"gaussian","linesearch",5e-04,10,"10*eta0",0.005,5,"linesearch | 10*eta0"
