"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,4000,2,"bernoulli","fixed",2e-04,10,0.002,8,0.01,2000,0.5,1,0,0,NA,1378.141,2000,0,0,1910.7489139729,0,0,1,1,0,1
1,3123,4000,2,"bernoulli","linesearch",2e-04,10,0.002,8,0.01,2000,0.5,1,9,0,NA,7515.99,446,1,0,0.00986364931943227,4,4,0,0,0,2
1,3123,4000,2,"bernoulli","fixed",2e-04,5,0.001,4,0.01,2000,0.5,1,0,0,NA,352.102000000001,71,1,0,0.00980829222850266,0,0,1,1,0,3
1,3123,4000,2,"bernoulli","linesearch",2e-04,5,0.001,4,0.01,2000,0.5,1,9,0,NA,6935.846,446,1,0,0.00986364931943227,3,3,0,0,0,4
1,3123,4000,2,"bernoulli","fixed",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,0,0,NA,448.733,277,1,0,0.00999788523072799,0,0,1,1,0,5
1,3123,4000,2,"bernoulli","linesearch",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,9,0,NA,4604.081,277,1,0,0.00999788523072799,0,0,1,0,0,6
1,3123,4000,2,"bernoulli","fixed",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,0,0,NA,960.355,1400,1,0,0.00993966912046329,0,0,1,1,0,7
1,3123,4000,2,"bernoulli","linesearch",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,9,0,NA,23265.313,1400,1,0,0.00993966912046329,0,0,1,0,0,8
2,4123,4000,2,"bernoulli","fixed",2e-04,10,0.002,8,0.01,2000,0.5,1,0,0,NA,1394.804,2000,0,0,1911.16741832048,0,0,1,1,0,9
2,4123,4000,2,"bernoulli","linesearch",2e-04,10,0.002,8,0.01,2000,0.5,1,9,0,NA,5276.292,421,1,0,0.00981288886898554,4,4,0,0,0,10
2,4123,4000,2,"bernoulli","fixed",2e-04,5,0.001,4,0.01,2000,0.5,1,0,0,NA,345.305,72,1,0,0.00953898814981846,0,0,1,1,0,11
2,4123,4000,2,"bernoulli","linesearch",2e-04,5,0.001,4,0.01,2000,0.5,1,9,0,NA,4845.25,421,1,0,0.00981288886898554,3,3,0,0,0,12
2,4123,4000,2,"bernoulli","fixed",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,0,0,NA,447.852999999999,262,1,0,0.00976533182791645,0,0,1,1,0,13
2,4123,4000,2,"bernoulli","linesearch",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,9,0,NA,2622.977,262,1,0,0.00976533182791645,0,0,1,0,0,14
2,4123,4000,2,"bernoulli","fixed",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,0,0,NA,930.387000000001,1320,1,0,0.00999197699961715,0,0,1,1,0,15
2,4123,4000,2,"bernoulli","linesearch",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,9,0,NA,12077.2,1320,1,0,0.00999197699961715,0,0,1,0,0,16
3,5123,4000,2,"bernoulli","fixed",2e-04,10,0.002,8,0.01,2000,0.5,1,0,0,NA,1393.836,2000,0,0,1876.18334185029,0,0,1,1,0,17
3,5123,4000,2,"bernoulli","linesearch",2e-04,10,0.002,8,0.01,2000,0.5,1,9,0,NA,5474.64,431,1,0,0.00996154887790887,4,4,0,0,0,18
3,5123,4000,2,"bernoulli","fixed",2e-04,5,0.001,4,0.01,2000,0.5,1,0,0,NA,343.006,70,1,0,0.00976035627899841,0,0,1,1,0,19
3,5123,4000,2,"bernoulli","linesearch",2e-04,5,0.001,4,0.01,2000,0.5,1,9,0,NA,4838.43,431,1,0,0.00996154887790887,3,3,0,0,0,20
3,5123,4000,2,"bernoulli","fixed",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,0,0,NA,444.369000000001,268,1,0,0.00999489912918315,0,0,1,1,0,21
3,5123,4000,2,"bernoulli","linesearch",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,9,0,NA,2649.648,268,1,0,0.00999489912918315,0,0,1,0,0,22
3,5123,4000,2,"bernoulli","fixed",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,0,0,NA,956.127999999999,1354,1,0,0.00996351949942482,0,0,1,1,0,23
3,5123,4000,2,"bernoulli","linesearch",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,9,0,NA,12734.797,1354,1,0,0.00996351949942482,0,0,1,0,0,24
4,6123,4000,2,"bernoulli","fixed",2e-04,10,0.002,8,0.01,2000,0.5,1,0,0,NA,1399.19,2000,0,0,1907.17095292511,0,0,1,1,0,25
4,6123,4000,2,"bernoulli","linesearch",2e-04,10,0.002,8,0.01,2000,0.5,1,9,0,NA,7185.665,446,1,0,0.00993238389313322,4,4,0,0,0,26
4,6123,4000,2,"bernoulli","fixed",2e-04,5,0.001,4,0.01,2000,0.5,1,0,0,NA,358.617,71,1,0,0.00973318559928804,0,0,1,1,0,27
4,6123,4000,2,"bernoulli","linesearch",2e-04,5,0.001,4,0.01,2000,0.5,1,9,0,NA,6619.098,446,1,0,0.00993238389313322,3,3,0,0,0,28
4,6123,4000,2,"bernoulli","fixed",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,0,0,NA,453.227000000001,278,1,0,0.00975382127490909,0,0,1,1,0,29
4,6123,4000,2,"bernoulli","linesearch",2e-04,1,2e-04,0.8,0.01,2000,0.5,1,9,0,NA,4490.678,278,1,0,0.00975382127490909,0,0,1,0,0,30
4,6123,4000,2,"bernoulli","fixed",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,0,0,NA,960.688999999998,1401,1,0,0.00994501808508319,0,0,1,1,0,31
4,6123,4000,2,"bernoulli","linesearch",2e-04,0.2,4e-05,0.16,0.01,2000,0.5,1,9,0,NA,21836.333,1401,1,0,0.00994501808508319,0,0,1,0,0,32
5,7123,4000,2,"bernoulli","fixed",2e-04,10,0.002,8,0.01,2000,0.5,1,0,0,NA,1412.958,2000,0,0,1862.71340166589,0,0,1,1,0,33
