"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,1000,2,"gaussian","fixed",5e-04,10,0.005,5,0.01,2000,0.5,1,0,0,NA,4.646,13,0,1,NA,0,0,1,1,0,1
1,3123,1000,2,"gaussian","linesearch",5e-04,10,0.005,5,0.01,2000,0.5,1,7,0,NA,11.313,58,1,0,0.00996775444950457,3,3,0,0,0,2
1,3123,1000,2,"gaussian","fixed",5e-04,5,0.0025,2.5,0.01,2000,0.5,1,0,0,NA,4.567,18,0,1,NA,0,0,1,1,0,3
1,3123,1000,2,"gaussian","linesearch",5e-04,5,0.0025,2.5,0.01,2000,0.5,1,7,0,NA,10.26,58,1,0,0.00996775444950457,2,2,0,0,0,4
1,3123,1000,2,"gaussian","fixed",5e-04,1,5e-04,0.5,0.01,2000,0.5,1,0,0,NA,5.371,74,1,0,0.00921792707516753,0,0,1,1,0,5
1,3123,1000,2,"gaussian","linesearch",5e-04,1,5e-04,0.5,0.01,2000,0.5,1,7,0,NA,8.845,74,1,0,0.00921792707516753,0,0,1,0,0,6
1,3123,1000,2,"gaussian","fixed",5e-04,0.2,1e-04,0.1,0.01,2000,0.5,1,0,0,NA,10.12,379,1,0,0.00999778889454256,0,0,1,1,0,7
1,3123,1000,2,"gaussian","linesearch",5e-04,0.2,1e-04,0.1,0.01,2000,0.5,1,7,0,NA,33.702,379,1,0,0.00999778889454256,0,0,1,0,0,8
2,4123,1000,2,"gaussian","fixed",5e-04,10,0.005,5,0.01,2000,0.5,1,0,0,NA,4.622,13,0,1,NA,0,0,1,1,0,9
2,4123,1000,2,"gaussian","linesearch",5e-04,10,0.005,5,0.01,2000,0.5,1,7,0,NA,11.025,59,1,0,0.00910865880835798,3,3,0,0,0,10
2,4123,1000,2,"gaussian","fixed",5e-04,5,0.0025,2.5,0.01,2000,0.5,1,0,0,NA,4.545,17,0,1,NA,0,0,1,1,0,11
2,4123,1000,2,"gaussian","linesearch",5e-04,5,0.0025,2.5,0.01,2000,0.5,1,7,0,NA,9.605,59,1,0,0.00910865880835798,2,2,0,0,0,12
2,4123,1000,2,"gaussian","fixed",5e-04,1,5e-04,0.5,0.01,2000,0.5,1,0,0,NA,5.27,74,1,0,0.00979387644514951,0,0,1,1,0,13
2,4123,1000,2,"gaussian","linesearch",5e-04,1,5e-04,0.5,0.01,2000,0.5,1,7,0,NA,8.712,74,1,0,0.00979387644514951,0,0,1,0,0,14
2,4123,1000,2,"gaussian","fixed",5e-04,0.2,1e-04,0.1,0.01,2000,0.5,1,0,0,NA,10.324,383,1,0,0.00989695711271299,0,0,1,1,0,15
2,4123,1000,2,"gaussian","linesearch",5e-04,0.2,1e-04,0.1,0.01,2000,0.5,1,7,0,NA,28.417,383,1,0,0.00989695711271299,0,0,1,0,0,16
3,5123,1000,2,"gaussian","fixed",5e-04,10,0.005,5,0.01,2000,0.5,1,0,0,NA,4.668,13,0,1,NA,0,0,1,1,0,17
3,5123,1000,2,"gaussian","linesearch",5e-04,10,0.005,5,0.01,2000,0.5,1,7,0,NA,11.5,62,1,0,0.00887338635047884,3,3,0,0,0,18
3,5123,1000,2,"gaussian","fixed",5e-04,5,0.0025,2.5,0.01,2000,0.5,1,0,0,NA,4.517,17,0,1,NA,0,0,1,1,0,19
3,5123,1000,2,"gaussian","linesearch",5e-04,5,0.0025,2.5,0.01,2000,0.5,1,7,0,NA,10.116,62,1,0,0.00887338635047884,2,2,0,0,0,20
3,5123,1000,2,"gaussian","fixed",5e-04,1,5e-04,0.5,0.01,2000,0.5,1,0,0,NA,5.334,78,1,0,0.00933909228732574,0,0,1,1,0,21
3,5123,1000,2,"gaussian","linesearch",5e-04,1,5e-04,0.5,0.01,2000,0.5,1,7,0,NA,9.255,78,1,0,0.00933909228732574,0,0,1,0,0,22
3,5123,1000,2,"gaussian","fixed",5e-04,0.2,1e-04,0.1,0.01,2000,0.5,1,0,0,NA,10.069,402,1,0,0.00988463797897095,0,0,1,1,0,23
3,5123,1000,2,"gaussian","linesearch",5e-04,0.2,1e-04,0.1,0.01,2000,0.5,1,7,0,NA,37.172,402,1,0,0.00988463797897095,0,0,1,0,0,24
4,6123,1000,2,"gaussian","fixed",5e-04,10,0.005,5,0.01,2000,0.5,1,0,0,NA,4.638,13,0,1,NA,0,0,1,1,0,25
