"rep","seed","n","k","family","method","eta0","eta_mult","eta_init","eta_times_n","eps_grad","max_gd_steps","beta_ls","c_ls","Rprime","error","error_message","elapsed_sec","num_of_steps","converged","exploded","score_Y_max_abs","bt_mean","bt_max","bt_frac0","bt_frac_hit_cap","ls_fail_frac","record_id"
1,3123,2000,2,"poisson","fixed",0.00010685760208067,10,0.0010685760208067,2.1371520416134,0.01,2000,0.5,1,0,0,NA,39.189,7,0,1,NA,0,0,1,1,0,1
1,3123,2000,2,"poisson","linesearch",0.00010685760208067,10,0.0010685760208067,2.1371520416134,0.01,2000,0.5,1,8,0,NA,74.817,70,1,0,0.00917928404748647,2,2,0,0,0,2
1,3123,2000,2,"poisson","fixed",0.00010685760208067,5,0.000534288010403351,1.0685760208067,0.01,2000,0.5,1,0,0,NA,232.596,2000,0,0,3596.94421919662,0,0,1,1,0,3
1,3123,2000,2,"poisson","linesearch",0.00010685760208067,5,0.000534288010403351,1.0685760208067,0.01,2000,0.5,1,8,0,NA,67.815,70,1,0,0.00917928404748647,1,1,0,0,0,4
1,3123,2000,2,"poisson","fixed",0.00010685760208067,1,0.00010685760208067,0.21371520416134,0.01,2000,0.5,1,0,0,NA,53.61,179,1,0,0.00987803660279551,0,0,1,1,0,5
1,3123,2000,2,"poisson","linesearch",0.00010685760208067,1,0.00010685760208067,0.21371520416134,0.01,2000,0.5,1,8,0,NA,106.926,179,1,0,0.00987803660279551,0,0,1,0,0,6
1,3123,2000,2,"poisson","fixed",0.00010685760208067,0.2,2.1371520416134e-05,0.0427430408322681,0.01,2000,0.5,1,0,0,NA,126.644,908,1,0,0.00998706430558993,0,0,1,1,0,7
1,3123,2000,2,"poisson","linesearch",0.00010685760208067,0.2,2.1371520416134e-05,0.0427430408322681,0.01,2000,0.5,1,8,0,NA,461.4,908,1,0,0.00998706430558993,0,0,1,0,0,8
2,4123,2000,2,"poisson","fixed",0.000105820179681029,10,0.00105820179681029,2.11640359362059,0.01,2000,0.5,1,0,0,NA,37.327,9,0,1,NA,0,0,1,1,0,9
2,4123,2000,2,"poisson","linesearch",0.000105820179681029,10,0.00105820179681029,2.11640359362059,0.01,2000,0.5,1,8,0,NA,71.279,69,1,0,0.00907813988349698,2,2,0,0,0,10
2,4123,2000,2,"poisson","fixed",0.000105820179681029,5,0.000529100898405147,1.05820179681029,0.01,2000,0.5,1,0,0,NA,221.767,2000,0,0,1524.72100320705,0,0,1,1,0,11
2,4123,2000,2,"poisson","linesearch",0.000105820179681029,5,0.000529100898405147,1.05820179681029,0.01,2000,0.5,1,8,0,NA,65.501,69,1,0,0.00907813988349698,1,1,0,0,0,12
2,4123,2000,2,"poisson","fixed",0.000105820179681029,1,0.000105820179681029,0.211640359362059,0.01,2000,0.5,1,0,0,NA,52.302,177,1,0,0.00958046627401987,0,0,1,1,0,13
2,4123,2000,2,"poisson","linesearch",0.000105820179681029,1,0.000105820179681029,0.211640359362059,0.01,2000,0.5,1,8,0,NA,98.0760000000001,177,1,0,0.00958046627401987,0,0,1,0,0,14
2,4123,2000,2,"poisson","fixed",0.000105820179681029,0.2,2.11640359362059e-05,0.0423280718724118,0.01,2000,0.5,1,0,0,NA,116.674,896,1,0,0.00991285606729675,0,0,1,1,0,15
2,4123,2000,2,"poisson","linesearch",0.000105820179681029,0.2,2.11640359362059e-05,0.0423280718724118,0.01,2000,0.5,1,8,0,NA,403.543,896,1,0,0.00991285606729675,0,0,1,0,0,16
3,5123,2000,2,"poisson","fixed",0.00010793155844438,10,0.0010793155844438,2.1586311688876,0.01,2000,0.5,1,0,0,NA,38.763,8,0,1,NA,0,0,1,1,0,17
3,5123,2000,2,"poisson","linesearch",0.00010793155844438,10,0.0010793155844438,2.1586311688876,0.01,2000,0.5,1,8,0,NA,72.48,66,1,0,0.00999566518458339,2,2,0,0,0,18
3,5123,2000,2,"poisson","fixed",0.00010793155844438,5,0.000539657792221899,1.0793155844438,0.01,2000,0.5,1,0,0,NA,233.932,2000,0,0,3783.16204240095,0,0,1,1,0,19
3,5123,2000,2,"poisson","linesearch",0.00010793155844438,5,0.000539657792221899,1.0793155844438,0.01,2000,0.5,1,8,0,NA,66.07,66,1,0,0.00999566518458339,1,1,0,0,0,20
3,5123,2000,2,"poisson","fixed",0.00010793155844438,1,0.00010793155844438,0.21586311688876,0.01,2000,0.5,1,0,0,NA,54.562,171,1,0,0.00951306550529002,0,0,1,1,0,21
3,5123,2000,2,"poisson","linesearch",0.00010793155844438,1,0.00010793155844438,0.21586311688876,0.01,2000,0.5,1,8,0,NA,98.17,171,1,0,0.00951306550529002,0,0,1,0,0,22
3,5123,2000,2,"poisson","fixed",0.00010793155844438,0.2,2.1586311688876e-05,0.0431726233777519,0.01,2000,0.5,1,0,0,NA,119.451,864,1,0,0.00990831793398589,0,0,1,1,0,23
3,5123,2000,2,"poisson","linesearch",0.00010793155844438,0.2,2.1586311688876e-05,0.0431726233777519,0.01,2000,0.5,1,8,0,NA,364.377,864,1,0,0.00990831793398589,0,0,1,0,0,24
4,6123,2000,2,"poisson","fixed",0.000104919795605082,10,0.00104919795605082,2.09839591210165,0.01,2000,0.5,1,0,0,NA,38.695,7,0,1,NA,0,0,1,1,0,25
4,6123,2000,2,"poisson","linesearch",0.000104919795605082,10,0.00104919795605082,2.09839591210165,0.01,2000,0.5,1,8,0,NA,76.339,71,1,0,0.00958621668503171,2,2,0,0,0,26
4,6123,2000,2,"poisson","fixed",0.000104919795605082,5,0.000524598978025412,1.04919795605082,0.01,2000,0.5,1,0,0,NA,231.881,2000,0,0,4123.68208708273,0,0,1,1,0,27
4,6123,2000,2,"poisson","linesearch",0.000104919795605082,5,0.000524598978025412,1.04919795605082,0.01,2000,0.5,1,8,0,NA,71.565,71,1,0,0.00958621668503171,1,1,0,0,0,28
4,6123,2000,2,"poisson","fixed",0.000104919795605082,1,0.000104919795605082,0.209839591210165,0.01,2000,0.5,1,0,0,NA,55.35,182,1,0,0.00981390083900344,0,0,1,1,0,29
4,6123,2000,2,"poisson","linesearch",0.000104919795605082,1,0.000104919795605082,0.209839591210165,0.01,2000,0.5,1,8,0,NA,105.629,182,1,0,0.00981390083900344,0,0,1,0,0,30
4,6123,2000,2,"poisson","fixed",0.000104919795605082,0.2,2.09839591210165e-05,0.0419679182420329,0.01,2000,0.5,1,0,0,NA,124.871,921,1,0,0.0099948662176144,0,0,1,1,0,31
4,6123,2000,2,"poisson","linesearch",0.000104919795605082,0.2,2.09839591210165e-05,0.0419679182420329,0.01,2000,0.5,1,8,0,NA,412.059,921,1,0,0.0099948662176144,0,0,1,0,0,32
5,7123,2000,2,"poisson","fixed",0.000103377946329526,10,0.00103377946329526,2.06755892659053,0.01,2000,0.5,1,0,0,NA,36.943,6,0,1,NA,0,0,1,1,0,33
5,7123,2000,2,"poisson","linesearch",0.000103377946329526,10,0.00103377946329526,2.06755892659053,0.01,2000,0.5,1,8,0,NA,69.993,69,1,0,0.00972368746857349,2,2,0,0,0,34
5,7123,2000,2,"poisson","fixed",0.000103377946329526,5,0.000516889731647632,1.03377946329526,0.01,2000,0.5,1,0,0,NA,217.715,2000,0,0,3088.12501993943,0,0,1,1,0,35
5,7123,2000,2,"poisson","linesearch",0.000103377946329526,5,0.000516889731647632,1.03377946329526,0.01,2000,0.5,1,8,0,NA,64.158,69,1,0,0.00972368746857349,1,1,0,0,0,36
5,7123,2000,2,"poisson","fixed",0.000103377946329526,1,0.000103377946329526,0.206755892659053,0.01,2000,0.5,1,0,0,NA,51.714,177,1,0,0.00994161749758971,0,0,1,1,0,37
5,7123,2000,2,"poisson","linesearch",0.000103377946329526,1,0.000103377946329526,0.206755892659053,0.01,2000,0.5,1,8,0,NA,93.874,177,1,0,0.00994161749758971,0,0,1,0,0,38
5,7123,2000,2,"poisson","fixed",0.000103377946329526,0.2,2.06755892659053e-05,0.0413511785318106,0.01,2000,0.5,1,0,0,NA,117.088,898,1,0,0.00993275811120842,0,0,1,1,0,39
5,7123,2000,2,"poisson","linesearch",0.000103377946329526,0.2,2.06755892659053e-05,0.0413511785318106,0.01,2000,0.5,1,8,0,NA,392.979,898,1,0,0.00993275811120842,0,0,1,0,0,40
6,8123,2000,2,"poisson","fixed",0.000108660464465768,10,0.00108660464465768,2.17320928931536,0.01,2000,0.5,1,0,0,NA,38.259,10,0,1,NA,0,0,1,1,0,41
6,8123,2000,2,"poisson","linesearch",0.000108660464465768,10,0.00108660464465768,2.17320928931536,0.01,2000,0.5,1,8,0,NA,73.563,71,1,0,0.00916927529147014,2,2,0,0,0,42
6,8123,2000,2,"poisson","fixed",0.000108660464465768,5,0.00054330232232884,1.08660464465768,0.01,2000,0.5,1,0,0,NA,234.061,2000,0,0,4098.17765303301,0,0,1,1,0,43
6,8123,2000,2,"poisson","linesearch",0.000108660464465768,5,0.00054330232232884,1.08660464465768,0.01,2000,0.5,1,8,0,NA,68.142,71,1,0,0.00916927529147014,1,1,0,0,0,44
6,8123,2000,2,"poisson","fixed",0.000108660464465768,1,0.000108660464465768,0.217320928931536,0.01,2000,0.5,1,0,0,NA,55.357,182,1,0,0.00958492051082505,0,0,1,1,0,45
6,8123,2000,2,"poisson","linesearch",0.000108660464465768,1,0.000108660464465768,0.217320928931536,0.01,2000,0.5,1,8,0,NA,100.198,182,1,0,0.00958492051082505,0,0,1,0,0,46
6,8123,2000,2,"poisson","fixed",0.000108660464465768,0.2,2.17320928931536e-05,0.0434641857863072,0.01,2000,0.5,1,0,0,NA,125.35,920,1,0,0.00996297584097906,0,0,1,1,0,47
6,8123,2000,2,"poisson","linesearch",0.000108660464465768,0.2,2.17320928931536e-05,0.0434641857863072,0.01,2000,0.5,1,8,0,NA,431.063,920,1,0,0.00996297584097906,0,0,1,0,0,48
7,9123,2000,2,"poisson","fixed",0.000110000264006693,10,0.00110000264006693,2.20000528013386,0.01,2000,0.5,1,0,0,NA,39.793,7,0,1,NA,0,0,1,1,0,49
7,9123,2000,2,"poisson","linesearch",0.000110000264006693,10,0.00110000264006693,2.20000528013386,0.01,2000,0.5,1,8,0,NA,75.913,70,1,0,0.00915686741112232,2,2,0,0,0,50
7,9123,2000,2,"poisson","fixed",0.000110000264006693,5,0.000550001320033465,1.10000264006693,0.01,2000,0.5,1,0,0,NA,235.139,2000,0,0,4116.58073001779,0,0,1,1,0,51
